,User,Job,,,,,UserId,Rating
1,235,25,2015-02-10 13:26:11,18,,,262,5
3,231,25,2015-02-10 13:26:43,18,,,677,5
4,18,25,2015-02-10 17:21:44,18,,,1156,4
6,253,25,2015-02-17 15:03:53,18,,,275,4
7,236,25,2015-02-20 16:48:14,18,,,1006,1
8,234,25,2015-03-02 15:17:20,18,,,453,3
9,242,25,2015-03-12 10:23:28,18,,,1091,4
10,519,28,2015-03-18 10:11:41,210,,,861,3
12,299,25,2015-04-08 09:36:34,18,,,844,5
13,255,25,2015-04-15 14:15:19,18,,,656,4
14,1574,32,2015-04-29 12:36:45,561,,,830,5
15,815,36,2015-04-29 12:43:25,561,,,597,2
16,996,36,2015-04-29 12:43:30,561,,,159,4
17,264,25,2015-05-01 09:53:54,18,,,390,4
18,485,37,2015-05-04 11:51:35,561,,,964,4
20,1539,37,2015-05-04 12:01:44,561,,,1078,5
21,1579,37,2015-05-04 12:02:49,561,,,783,2
22,1630,37,2015-05-04 12:04:13,561,,,487,5
23,767,38,2015-05-04 12:17:55,561,,,207,3
25,1180,38,2015-05-04 12:33:31,561,,,1141,4
26,1435,38,2015-05-04 12:41:23,561,,,1012,3
27,1460,38,2015-05-04 12:42:55,561,,,300,4
28,1512,38,2015-05-04 12:50:59,561,,,151,3
29,1539,38,2015-05-04 12:53:36,561,,,197,4
30,1579,38,2015-05-04 12:56:08,561,,,508,2
31,1599,38,2015-05-04 12:57:00,561,,,533,2
32,485,39,2015-05-04 13:08:17,561,,,334,5
33,767,39,2015-05-04 13:16:41,561,,,911,5
34,930,39,2015-05-04 13:17:36,561,,,84,4
35,1877,39,2015-05-04 16:11:22,561,,,864,4
36,1251,32,2015-05-05 16:24:51,561,,,45,3
37,1974,37,2015-05-06 10:13:41,561,,,797,5
38,1919,37,2015-05-06 10:25:26,561,,,379,5
39,930,41,2015-05-06 11:37:30,561,,,1168,4
41,1495,41,2015-05-06 11:58:49,561,,,921,5
42,1986,49,2015-05-07 09:48:59,561,,,454,3
43,1986,50,2015-05-08 16:32:06,561,,,778,4
44,364,25,2015-05-09 10:30:32,18,,,74,5
45,1918,42,2015-05-13 20:39:14,561,,,1018,5
46,1534,37,2015-05-14 12:18:19,561,,,503,5
47,767,37,2015-05-14 12:27:29,561,,,279,2
48,1913,38,2015-05-14 12:33:23,561,,,429,4
49,1698,38,2015-05-14 12:33:58,561,,,83,5
50,918,38,2015-05-14 12:42:58,561,,,669,5
51,253,39,2015-05-14 12:46:15,561,,,1036,3
52,1821,39,2015-05-14 12:47:01,561,,,483,5
53,1543,40,2015-05-14 12:57:13,561,,,443,1
54,707,41,2015-05-14 12:59:32,561,,,1145,4
55,2172,45,2015-05-17 11:33:08,561,,,990,5
56,1152,45,2015-05-17 11:35:22,561,,,163,2
