userId,joined-date,active,birthday,gender
1,2013-12-11 16:47:33,1,1980-03-28,Male
2,2014-01-03 13:18:17,1,1987-11-03,Male
3,2014-01-17 20:10:39,1,1980-03-28,Male
4,2014-01-21 21:34:22,1,1982-10-29,Female
5,2014-02-12 20:22:48,1,0000-00-00,male
6,2014-02-20 15:55:16,1,1985-06-04,Female
7,2014-02-20 16:01:52,0,1983-10-27,Female
8,2014-03-01 20:37:41,1,1980-06-30,Male
9,2014-05-05 00:51:47,1,1988-01-02,Male
10,2014-05-09 22:28:20,1,0000-00-00,Male
11,2014-05-09 22:29:24,1,1963-09-18,Male
12,2014-05-13 16:10:00,1,1982-06-06,Male
13,2014-05-13 16:49:14,1,0000-00-00,Male
14,2014-05-14 21:47:48,1,1982-05-10,Male
15,2014-05-22 14:20:48,1,1978-04-03,Male
16,2014-05-23 18:05:54,0,0000-00-00,Male
17,2014-05-29 22:05:58,1,1992-09-10,Male
18,2014-06-05 18:04:07,1,0000-00-00,Male
19,2014-06-06 16:52:59,0,1985-09-01,Male
20,2014-06-11 12:57:51,1,0000-00-00,Female
21,2014-06-30 16:08:10,1,1987-11-03,Male
22,2014-07-01 22:01:35,1,1979-01-05,Male
23,2014-07-14 16:10:01,1,1974-10-09,Male
24,2014-07-28 15:19:35,1,1987-12-14,Female
25,2014-08-06 12:00:46,1,1995-07-06,Female
26,2014-09-01 13:11:57,0,1979-10-22,Female
27,2014-09-01 16:51:12,0,1989-10-07,Female
28,2014-09-01 17:26:06,1,1983-04-03,Female
29,2014-09-01 17:30:18,0,1983-04-03,Female
30,2014-09-01 18:22:22,0,1992-02-09,Female
31,2014-09-03 17:41:01,0,1966-01-01,Male
32,2014-09-04 12:50:15,0,1984-08-28,Female
33,2014-09-05 01:43:41,0,1993-10-03,Female
34,2014-09-05 09:55:28,1,1981-05-13,Male
35,2014-09-05 15:32:14,0,1982-05-04,Male
36,2014-09-06 12:36:55,0,2012-06-04,Male
37,2014-09-07 14:16:48,0,1991-01-20,Male
38,2014-09-07 22:15:35,0,1989-12-02,Female
39,2014-09-07 22:17:39,0,1989-12-02,Female
40,2014-09-08 16:13:49,0,1979-02-21,Male
41,2014-09-11 14:09:27,1,1977-01-28,Female
42,2014-09-11 18:15:36,0,1988-01-01,Female
43,2014-09-20 15:04:59,1,1982-09-23,Male
44,2014-09-20 16:05:50,1,1987-09-23,Male
45,2014-09-21 03:52:26,0,0000-00-00,Male
46,2014-09-21 21:05:02,0,0000-00-00,Male
47,2014-09-22 18:22:42,0,0000-00-00,Male
48,2014-10-12 00:19:23,1,1991-11-20,Female
49,2014-10-12 00:41:10,1,0000-00-00,Male
50,2014-10-17 13:02:56,1,0000-00-00,Male
51,2014-10-22 11:16:55,1,1986-06-11,Male
52,2014-10-31 11:28:08,0,1982-11-21,Female
53,2014-10-31 16:22:22,1,1988-08-27,Male
54,2014-10-31 17:00:23,1,1990-09-14,Female
55,2014-11-05 22:47:40,1,1982-11-30,Male
56,2014-11-07 13:45:58,1,0000-00-00,Male
57,2014-11-07 15:39:23,1,1990-11-30,Male
58,2014-11-09 16:22:58,1,0000-00-00,Male
59,2014-11-10 00:42:34,1,0000-00-00,Male
60,2014-11-10 08:31:58,1,1981-03-03,Female
61,2014-11-10 08:59:56,1,0000-00-00,Male
62,2014-11-10 10:10:14,0,1982-11-16,Male
63,2014-11-10 20:22:46,1,0000-00-00,Male
64,2014-11-11 09:45:14,1,1989-06-07,Male
65,2014-11-11 10:25:33,1,1984-12-06,Female
66,2014-11-11 12:03:17,1,1990-10-18,Female
67,2014-11-12 23:17:36,1,1987-10-17,Male
68,2014-11-13 14:23:42,1,1989-05-26,Female
69,2014-11-13 22:28:03,1,1993-01-26,Male
70,2014-11-14 09:29:11,1,0000-00-00,Male
71,2014-11-15 12:58:15,1,0000-00-00,Male
72,2014-11-15 17:24:31,1,0000-00-00,Male
73,2014-11-16 11:36:20,1,1981-12-08,Male
74,2014-11-16 14:53:06,1,1986-08-21,Female
75,2014-11-16 15:26:50,1,1983-10-28,Female
76,2014-11-17 22:19:09,0,1983-09-22,Male
77,2014-11-17 23:44:25,1,0000-00-00,Male
78,2014-11-18 09:29:21,1,1985-03-15,Female
79,2014-11-18 18:58:35,1,0000-00-00,Male
80,2014-11-18 19:24:46,1,1985-06-01,Female
